F,.,B,A,A,C
F,.,B,.,.,C
.,.,B,X,X,C
.,.,.,G,D,D
.,E,E,G,.,.
.,.,.,G,H,H
F,.,B,A,A,C
F,.,B,.,.,C
.,.,B,X,X,C
.,.,.,G,D,D
E,E,.,G,.,.
.,.,.,G,H,H
F,.,.,A,A,C
F,.,.,.,.,C
.,.,.,X,X,C
.,.,B,G,D,D
E,E,B,G,.,.
.,.,B,G,H,H
F,.,.,A,A,C
F,.,.,.,.,C
X,X,.,.,.,C
.,.,B,G,D,D
E,E,B,G,.,.
.,.,B,G,H,H
F,A,A,.,.,C
F,.,.,.,.,C
X,X,.,.,.,C
.,.,B,G,D,D
E,E,B,G,.,.
.,.,B,G,H,H
F,A,A,G,.,C
F,.,.,G,.,C
X,X,.,G,.,C
.,.,B,.,D,D
E,E,B,.,.,.
.,.,B,.,H,H
F,A,A,G,.,C
F,.,B,G,.,C
X,X,B,G,.,C
.,.,B,.,D,D
E,E,.,.,.,.
.,.,.,.,H,H
F,A,A,G,.,C
F,.,B,G,.,C
X,X,B,G,.,C
.,.,B,.,D,D
.,.,.,.,E,E
.,.,.,.,H,H
F,A,A,G,.,C
F,.,.,G,.,C
X,X,.,G,.,C
.,.,B,.,D,D
.,.,B,.,E,E
.,.,B,.,H,H
F,A,A,G,.,C
F,.,.,G,.,C
.,X,X,G,.,C
.,.,B,.,D,D
.,.,B,.,E,E
.,.,B,.,H,H
.,A,A,G,.,C
.,.,.,G,.,C
.,X,X,G,.,C
.,.,B,.,D,D
F,.,B,.,E,E
F,.,B,.,H,H
A,A,.,G,.,C
.,.,.,G,.,C
.,X,X,G,.,C
.,.,B,.,D,D
F,.,B,.,E,E
F,.,B,.,H,H
A,A,.,G,.,C
.,.,.,G,.,C
X,X,.,G,.,C
.,.,B,.,D,D
F,.,B,.,E,E
F,.,B,.,H,H
A,A,B,G,.,C
.,.,B,G,.,C
X,X,B,G,.,C
.,.,.,.,D,D
F,.,.,.,E,E
F,.,.,.,H,H
A,A,B,G,.,C
.,.,B,G,.,C
X,X,B,G,.,C
D,D,.,.,.,.
F,.,.,.,E,E
F,.,.,.,H,H
A,A,B,.,.,C
.,.,B,.,.,C
X,X,B,.,.,C
D,D,.,G,.,.
F,.,.,G,E,E
F,.,.,G,H,H
A,A,B,.,.,.
.,.,B,.,.,C
X,X,B,.,.,C
D,D,.,G,.,C
F,.,.,G,E,E
F,.,.,G,H,H
A,A,.,.,.,.
.,.,.,.,.,C
X,X,.,.,.,C
D,D,B,G,.,C
F,.,B,G,E,E
F,.,B,G,H,H
A,A,.,.,.,C
.,.,.,.,.,C
X,X,.,.,.,C
D,D,B,G,.,.
F,.,B,G,E,E
F,.,B,G,H,H
A,A,.,.,.,C
.,.,.,.,.,C
.,.,.,X,X,C
D,D,B,G,.,.
F,.,B,G,E,E
F,.,B,G,H,H
.,.,.,A,A,C
.,.,.,.,.,C
.,.,.,X,X,C
D,D,B,G,.,.
F,.,B,G,E,E
F,.,B,G,H,H
.,.,B,A,A,C
.,.,B,.,.,C
.,.,B,X,X,C
D,D,.,G,.,.
F,.,.,G,E,E
F,.,.,G,H,H
.,.,B,A,A,C
.,.,B,.,.,C
.,.,B,X,X,C
.,D,D,G,.,.
F,.,.,G,E,E
F,.,.,G,H,H
.,.,B,A,A,.
.,.,B,.,.,C
.,.,B,X,X,C
.,D,D,G,.,C
F,.,.,G,E,E
F,.,.,G,H,H
F,.,B,A,A,.
F,.,B,.,.,C
.,.,B,X,X,C
.,D,D,G,.,C
.,.,.,G,E,E
.,.,.,G,H,H
F,.,B,A,A,C
F,.,B,.,.,C
.,.,B,X,X,C
.,D,D,G,.,.
.,.,.,G,E,E
.,.,.,G,H,H
F,.,B,A,A,C
F,.,B,.,.,C
.,.,B,X,X,C
D,D,.,G,.,.
.,.,.,G,E,E
.,.,.,G,H,H
F,.,.,A,A,C
F,.,.,.,.,C
.,.,.,X,X,C
D,D,B,G,.,.
.,.,B,G,E,E
.,.,B,G,H,H
F,A,A,.,.,C
F,.,.,.,.,C
.,.,.,X,X,C
D,D,B,G,.,.
.,.,B,G,E,E
.,.,B,G,H,H
F,A,A,.,.,C
F,.,.,.,.,C
X,X,.,.,.,C
D,D,B,G,.,.
.,.,B,G,E,E
.,.,B,G,H,H
F,A,A,.,.,C
F,.,B,.,.,C
X,X,B,.,.,C
D,D,B,G,.,.
.,.,.,G,E,E
.,.,.,G,H,H
F,A,A,G,.,C
F,.,B,G,.,C
X,X,B,G,.,C
D,D,B,.,.,.
.,.,.,.,E,E
.,.,.,.,H,H
F,A,A,G,.,C
F,.,B,G,.,C
X,X,B,G,.,C
D,D,B,.,.,.
.,.,.,.,E,E
H,H,.,.,.,.
F,A,A,G,.,C
F,.,B,G,.,C
X,X,B,G,.,C
D,D,B,.,.,.
E,E,.,.,.,.
H,H,.,.,.,.
F,A,A,G,.,.
F,.,B,G,.,.
X,X,B,G,.,.
D,D,B,.,.,C
E,E,.,.,.,C
H,H,.,.,.,C
F,A,A,G,.,.
F,.,B,G,.,.
X,X,B,G,.,.
D,D,B,.,.,C
