car,move
D,1
B,1
H,1
J,1
B,-3
I,2
B,2
G,-2
I,-2
B,2
A,2
X,2
H,-1
A,-1
C,-2
I,1
I,-1
I,1
I,-1
I,1
J,-1
I,-1
C,2
H,1
X,-2
F,2
G,1
F,-2
A,-1
B,-4
B,4
X,1
A,2
G,-1
I,1
X,1
H,-1
D,-1
F,1
A,-1
G,1
X,-2
F,1
X,2
I,-1
F,-2
F,2
X,-2
X,2
G,-2
G,2
F,-2
A,1
I,1
H,2
K,2
E,2
X,-2
F,1
X,2
E,-2
E,2
D,1
J,1
E,-2
X,-2
X,2
E,2
X,-2
E,-2
F,-1
K,-2
I,-1
H,-2
G,-1
A,-2
X,1
H,1
J,-1
H,-1
D,-1
C,-2
B,-4
G,3
C,1
A,1
G,-4
A,-1
I,2
I,-2
C,1
A,2
H,4
G,1
A,-2
G,-1
C,-2
B,4
X,-1
X,1
X,-1
G,1
A,1
X,2
D,1
D,-1
D,1
X,-2
J,1
J,-1
J,1
C,2
X,2
C,-2
X,-2
C,2
A,-1
X,1
A,2
X,-1
X,2
X,-2
A,-2
X,1
C,-2
A,1
A,-1
J,-1
J,1
B,-4
A,1
J,-1
C,2
C,-2
X,-1
D,-1
B,1
B,-1
A,-1
C,2
G,-1
B,4
A,2
H,-4
G,2
H,3
F,1
X,2
H,-3
D,1
X,-2
X,2
A,-1
A,1
A,-1
J,1
F,1
I,1
H,1
J,-1
G,-1
X,-2
F,-2
I,-1
D,-1
X,2
H,-1
C,-2
G,-1
I,1
C,2
C,-2
K,1
C,2
X,-2
A,1
X,2
F,1
F,-1
E,1
A,-1
F,2
G,2
G,-2
G,2
F,-2
D,1
F,2
J,1
E,-1
J,-1
H,1
D,-1
G,-2
G,2
F,-2
X,-2
C,-2
E,1
X,2
G,-2
H,-1
X,-2
E,-1
G,2
H,1
A,-1
K,1
C,2
B,-4
K,-2
C,-2
A,1
X,2
H,-1
I,-1
G,-2
I,3
H,1
K,1
B,1
K,-1
X,2
