Normal Random,Path Compressed Random
3981,25
1464,29
179,36
188,30
385,41
464,38
3079,48
2972,48
957,39
117,37
4031,29
1314,27
1427,47
329,44
2153,39
215,31
5721,30
2284,40
638,30
2013,38
1675,27
968,35
2458,31
835,48
1855,22
4557,37
756,37
5172,33
1828,69
6120,30
1013,29
1597,48
634,49
3435,25
1281,34
538,36
5314,28
2682,26
539,53
5388,30
541,27
924,28
1951,28
695,31
1682,24
1109,53
2996,28
453,32
279,31
582,41
1890,37
984,32
5101,27
325,54
4693,42
3058,32
3506,40
2581,26
1052,74
1693,29
2742,34
2323,37
3880,23
7529,48
3069,33
370,28
3009,26
2182,36
1112,32
2133,33
8950,25
278,49
1154,34
479,42
1350,43
1135,39
2163,27
816,43
1263,27
9072,48
1462,30
1102,48
2369,31
1570,30
758,51
389,27
1726,36
558,36
2301,34
2188,33
3274,32
3068,29
956,32
872,33
1098,36
3961,22
1480,27
258,29
2213,33
8284,45
