car,move
AL,-1
AF,-1
H,1
AH,2
AD,1
AG,-1
AQ,-1
P,2
AJ,-1
H,-1
AD,-1
J,1
AB,-1
AQ,1
H,1
J,-1
AP,-3
AO,1
AQ,-1
AD,1
AQ,1
L,1
AI,-3
L,-1
AD,-1
P,-2
AQ,-1
J,3
AE,-1
P,1
AJ,1
AE,1
AO,1
H,-1
AA,-2
AD,1
AO,-2
L,1
K,1
AD,-1
AQ,1
AD,1
AA,2
H,1
AI,3
AA,-5
AQ,-1
AA,5
AO,2
AA,-5
K,-1
L,-1
P,-1
AO,-2
J,-3
L,1
AD,-1
L,-1
P,2
AI,-3
G,-1
AJ,-1
F,1
J,1
F,-1
AP,3
N,-1
P,-2
AE,-1
J,2
AP,-3
AG,-1
AQ,1
M,1
AI,3
AO,1
AQ,-1
AJ,1
P,1
AO,-1
J,-3
P,1
AJ,-1
AQ,1
AI,-3
AQ,-1
AJ,1
L,1
AQ,1
L,-1
AO,1
M,-1
L,1
AQ,-1
P,-2
K,1
AO,1
AJ,-1
P,2
N,1
P,-2
AA,1
F,1
AO,-2
AG,1
F,-1
AA,-1
AJ,1
AQ,1
AI,3
AG,-1
AO,1
G,1
AG,1
AJ,-1
AP,2
K,-1
AO,-1
AI,-3
AC,-3
AG,2
P,2
AO,1
AC,3
K,1
AB,1
P,-2
AI,3
AF,1
P,2
AE,1
AA,6
AI,-3
P,-2
H,-1
P,2
AE,-1
K,-1
H,1
G,-1
H,-1
P,-2
F,1
P,2
O,1
P,-2
H,-1
K,1
E,1
AE,1
AI,3
C,1
AB,-1
C,-1
AE,-1
AO,-1
AE,1
AP,1
AD,1
K,-1
L,-1
AC,-2
E,-1
AC,2
AH,-1
AP,-1
J,3
AH,1
P,1
AI,-3
AC,-2
J,-3
F,-1
H,2
AK,-1
AP,1
O,-1
G,1
L,1
P,-1
AJ,1
AC,1
L,-1
AA,2
AR,-1
P,2
AG,-1
L,1
AC,-2
P,-2
L,-1
AC,2
AQ,-1
AD,-1
AI,3
AR,1
AQ,1
AE,-1
O,1
AG,1
AC,-2
L,1
H,-2
P,2
K,1
AI,-3
AK,1
AB,1
AI,3
AK,-1
K,-1
AA,-1
AR,-1
K,1
G,-1
AA,1
AI,-3
K,-1
AR,1
AG,-1
H,-1
AQ,-2
K,1
AB,-1
AC,1
P,-2
AR,-1
H,3
G,1
AC,-1
AB,1
G,-1
H,-3
P,2
AB,-1
P,-2
AQ,2
AE,1
AC,2
AD,1
AC,-2
P,2
AR,1
AB,1
AG,1
AR,-1
AD,-1
AB,-1
AI,3
AA,-1
H,3
K,-1
L,-1
G,1
H,-2
P,-2
L,1
AI,-3
K,1
AC,2
H,2
K,-1
AR,1
D,1
K,1
AA,1
P,2
AC,-2
G,-1
A,-1
N,-1
AI,3
P,-2
K,-1
AA,-1
H,-1
P,2
AA,1
L,-1
AG,-1
B,-1
N,1
G,1
AH,-2
P,-2
AG,1
G,-1
P,2
N,-1
AM,-1
P,-2
AR,-1
AC,2
U,-1
J,-1
AH,1
AG,-1
P,2
AQ,-1
U,1
AQ,1
H,1
AG,1
AE,-1
J,2
AC,-2
AA,-1
AB,1
AR,1
AA,1
B,1
A,1
J,-1
N,1
AG,-1
AK,1
J,1
N,-1
AQ,-2
N,1
P,-2
J,-1
G,1
H,-1
A,-6
B,-6
H,1
J,-1
AB,-1
AM,1
L,1
AK,-1
AM,-1
I,-1
AM,1
AH,1
P,2
H,-1
AB,1
J,1
AE,1
AH,-2
AR,-1
AH,2
D,-1
AD,1
AR,1
AH,-1
H,-1
AR,-1
AD,-1
AH,-1
AQ,2
H,3
P,-2
K,1
AB,-1
H,-3
AG,1
AM,-1
AC,2
H,3
D,1
AC,-2
AH,1
AR,1
AH,-1
AG,-1
D,-1
H,-3
J,-1
AC,2
AQ,-1
AH,1
K,-1
J,1
