Normal Random,Path Compressed Random
3619,41
742,91
14960,42
2096,60
1611,83
1643,147
5651,50
10121,49
5060,55
6400,60
3243,50
3852,49
4549,63
1714,58
5023,44
5910,37
7299,57
2190,61
4145,47
2606,71
2670,80
9686,58
2239,49
5037,43
10766,49
3953,48
18865,38
7378,35
11476,60
1989,53
6055,53
6191,46
12128,36
1617,88
11536,53
7829,49
2604,78
3432,59
3028,47
1179,95
2473,48
719,100
7895,40
2709,79
7566,63
4581,54
2097,43
3216,47
4563,73
2032,76
3877,48
16844,56
1907,82
4869,56
8608,44
5075,45
1320,56
1995,70
6546,38
10629,62
7884,52
3958,49
8416,43
851,88
2774,50
2500,72
4057,58
8474,40
4578,82
1445,71
1819,55
5223,48
4694,49
660,68
3497,55
8631,43
8300,51
9797,50
817,105
8812,51
1346,70
6230,47
6751,74
1846,118
3157,53
4400,60
9444,50
3008,59
3088,100
3054,84
1706,68
5758,42
1345,83
1829,85
7555,82
10359,37
2827,61
2467,66
6123,55
1694,74
