Normal Random,Path Compressed Random
3467,853
2863,1755
5076,3387
11454,3882
4307,916
2987,1783
2411,1509
13527,746
4274,2839
3438,1554
2380,660
6386,1295
9953,3708
2067,1048
4332,1676
12908,1794
1108,793
2680,1131
2497,1522
5380,2308
2115,1283
5482,2030
3452,2198
10883,4644
9837,1165
1237,381
2239,761
1619,768
5971,2261
4939,2321
6718,3949
629,389
4685,614
2479,1594
6720,4131
5892,2436
12054,1774
3840,1281
1203,720
3838,2012
4050,3140
726,337
4504,3366
4156,1247
16152,1243
3536,453
4609,2809
11586,3149
3537,1505
13755,3903
6333,4661
4200,550
1294,881
10555,2829
4995,1671
4073,1911
6362,3457
14660,6469
3596,2362
2352,1148
9314,2712
8244,1358
7703,2300
3154,1259
3906,2398
8194,2273
1871,1264
10830,1819
6003,2079
884,505
1397,784
10100,819
9042,2554
4179,875
1386,946
10822,6098
6126,2347
11021,1523
16726,4013
10587,1690
4216,2986
1201,614
1555,729
15208,2770
988,722
1743,1061
3683,1534
5539,1650
8479,950
1087,343
7973,3500
5900,923
4637,2214
6190,3464
11165,6131
2626,1328
2689,1486
12836,4455
6349,1976
4186,1206
